study	X	R	Y	M	XM
8	1	1	10	9	9
8	1	7	15	9	9
8	0	9	13	3	0
8	0	9	11	7	0
8	0	8	13	2	0
8	0	9	15	1	0
8	0	8	19	7	0
8	0	9	13	4	0
8	0	8	9	1	0
8	1	8	17	7	7
8	1	5	19	9	9
8	1	4	16	8	8
8	1	8	14	9	9
8	1	6	14	8	8
8	1	4	16	8	8
8	1	3	12	6	6
8	1	4	16	8	8
8	1	6	18	9	9
8	1	6	9	9	9
8	1	5	10	6	6
8	1	6	19	9	9
8	1	4	19	9	9
8	1	7	13	8	8
8	1	5	10	5	5
8	1	1	17	9	9
8	1	3	11	8	8
8	1	9	17	9	9
8	0	8	9	1	0
8	0	9	10	5	0
8	0	9	16	1	0
8	0	8	9	6	0
8	0	9	6	2	0
8	0	9	11	1	0
8	0	9	12	3	0
8	0	8	15	7	0
8	0	6	18	9	0
8	0	7	10	7	0
8	0	8	4	5	0
8	0	8	8	3	0
8	0	7	18	9	0
8	0	6	14	6	0
8	0	9	10	2	0
8	0	9	15	8	0
8	0	3	12	9	0
