                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 16
                                                                         23:35 Wednesday, July 2, 2025

Obs  idpart  replicate  study  id  X  R     Y     M  XM  a0  a1  a2     W1    a0a1  a0a2  a1a2  a0a1a2

  1    1.0       1        8     1  1  1  15.0816  9   9   1   1   1  1.00000    1     1     1      1  
  2    1.1       2        8     1  1  1  15.0767  9   9   0   1   1  1.00000    0     0     1      0  
  3    1.2       3        8     1  1  1  15.0816  9   9   1   0   1  0.15902    0     1     0      0  
  4    1.3       4        8     1  1  1  15.0767  9   9   0   0   1  0.15902    0     0     0      0  
  5    2.0       1        8     2  1  7  16.0654  9   9   1   1   1  1.00000    1     1     1      1  
  6    2.1       2        8     2  1  7  14.6623  9   9   0   1   1  1.00000    0     0     1      0  
  7    2.2       3        8     2  1  7  16.0654  9   9   1   0   1  0.15902    0     1     0      0  
  8    2.3       4        8     2  1  7  14.6623  9   9   0   0   1  0.15902    0     0     0      0  
  9    3.0       1        8     3  0  9  11.9741  3   0   0   0   0  1.00000    0     0     0      0  
 10    3.1       2        8     3  0  9  12.9548  3   0   1   0   0  1.00000    0     0     0      0  
 11    3.2       3        8     3  0  9  11.9741  3   0   0   1   0  0.10237    0     0     0      0  
 12    3.3       4        8     3  0  9  12.9548  3   0   1   1   0  0.10237    1     0     0      0  
 13    4.0       1        8     4  0  9  13.6742  7   0   0   0   0  1.00000    0     0     0      0  
 14    4.1       2        8     4  0  9  15.2471  7   0   1   0   0  1.00000    0     0     0      0  
 15    4.2       3        8     4  0  9  13.6742  7   0   0   1   0  1.59380    0     0     0      0  
 16    4.3       4        8     4  0  9  15.2471  7   0   1   1   0  1.59380    1     0     0      0  
 17    5.0       1        8     5  0  8   9.6685  2   0   0   0   0  1.00000    0     0     0      0  
 18    5.1       2        8     5  0  8  11.0106  2   0   1   0   0  1.00000    0     0     0      0  
 19    5.2       3        8     5  0  8   9.6685  2   0   0   1   0  0.05154    0     0     0      0  
 20    5.3       4        8     5  0  8  11.0106  2   0   1   1   0  0.05154    1     0     0      0  
 21    6.0       1        8     6  0  9  11.1241  1   0   0   0   0  1.00000    0     0     0      0  
 22    6.1       2        8     6  0  9  11.8086  1   0   1   0   0  1.00000    0     0     0      0  
 23    6.2       3        8     6  0  9  11.1241  1   0   0   1   0  0.02595    0     0     0      0  
 24    6.3       4        8     6  0  9  11.8086  1   0   1   1   0  0.02595    1     0     0      0  
 25    7.0       1        8     7  0  8  13.1862  7   0   0   0   0  1.00000    0     0     0      0  
 26    7.1       2        8     7  0  8  14.7383  7   0   1   0   0  1.00000    0     0     0      0  
 27    7.2       3        8     7  0  8  13.1862  7   0   0   1   0  1.59380    0     0     0      0  
 28    7.3       4        8     7  0  8  14.7383  7   0   1   1   0  1.59380    1     0     0      0  
 29    8.0       1        8     8  0  9  12.3991  4   0   0   0   0  1.00000    0     0     0      0  
 30    8.1       2        8     8  0  9  13.5279  4   0   1   0   0  1.00000    0     0     0      0  
 31    8.2       3        8     8  0  9  12.3991  4   0   0   1   0  0.20335    0     0     0      0  
