                                                     SIMULATION OF MEDIATION                   10:48 Thursday, January 4, 2007   7

                                                       The MEANS Procedure

                          Variable     N            Mean         Std Dev         Minimum         Maximum
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
                          BM1         10      -0.1623251       0.9198682      -1.9580858       1.2956933
                          MSE1        10       1.1475415       0.9623957       0.0486466       2.9838348
                          SEBM1       10       0.7087775       0.3479713       0.1664699       1.3218342
                          C           10      -1.6318910       4.1682274     -12.1111936       2.2710708
                          MSE2        10       1.1140367       1.4739492       0.0636524       4.5725530
                          SEC         10       1.4514521       1.3962196       0.3052931       4.8373208
                          SEB         10       1.0852063       0.9450768       0.3558146       3.3534458
                          B           10       0.3305871       2.2915779      -5.2057665       3.6318336
                          CBC         10      -1.3343843       5.3024755     -15.9378085       2.9232670
                          MSE3        10       0.6266824       0.6232485       0.0278293       1.9586814
                          A           10      -0.3141756       1.1665989      -2.4415302       1.4172485
                          SEA         10       0.5163989       0.3766839       0.1533401       1.3869836
                          VARXX       10       0.7729455       0.4205518       0.2043874       1.3391958
                          VARMM       10       1.1608798       0.7211549       0.2096821       2.3703182
                          CORRXM      10      -0.1626248       0.7544402      -0.9960787       0.9824997
                          ERROR       10               0               0               0               0
                          NOBS        10       4.0000000               0       4.0000000       4.0000000
                          BMX         10       0.1400000               0       0.1400000       0.1400000
                          BYX         10               0               0               0               0
                          BYM         10       0.3600000               0       0.3600000       0.3600000
                          TRUEAB      10       0.0504000               0       0.0504000       0.0504000
                          VMED        10       1.0196000               0       1.0196000       1.0196000
                          TVARB       10       1.0000000               0       1.0000000       1.0000000
                          TSEB        10       1.0000000               0       1.0000000       1.0000000
                          TVARB2      10       1.0003843               0       1.0003843       1.0003843
                          TVARA       10       0.5000000               0       0.5000000       0.5000000
                          TSEA        10       0.7071068               0       0.7071068       0.7071068
