                              Chapter 5 Analysis Example- XM Interaction                             7
                                                                          00:38 Thursday, May 29, 2025

 Obs    p1      n1    p2    n2     nn    prop1    prop2   weight1  weight2   value1   value2  popprop

   1  0.400     20  0.600   180    200  0.10000  0.90000  10.0000    1.111  0.04000  0.54000  0.58000
   2  0.100     20  0.200   180    200  0.10000  0.90000  10.0000    1.111  0.01000  0.18000  0.19000
   3  0.400     20  0.600   180    200  0.10000  0.90000  10.0000    1.111  0.04000  0.54000  0.58000
   4  0.010     20  0.002   180    200  0.10000  0.90000  10.0000    1.111  0.00100  0.00180  0.00280
   5  0.800     20  0.600   180    200  0.10000  0.90000  10.0000    1.111  0.08000  0.54000  0.62000
   6  0.910     20  0.200   180    200  0.10000  0.90000  10.0000    1.111  0.09100  0.18000  0.27100
   7  0.940     20  0.200   180    200  0.10000  0.90000  10.0000    1.111  0.09400  0.18000  0.27400
   8  0.901     20  0.002   180    200  0.10000  0.90000  10.0000    1.111  0.09010  0.00180  0.09190
   9  0.400    202  0.600   180    382  0.52880  0.47120   1.8911    2.122  0.21152  0.28272  0.49424
  10  0.100    203  0.200  1800   2003  0.10135  0.89865   9.8670    1.113  0.01013  0.17973  0.18987
  11  0.400    201  0.600  1800   2001  0.10045  0.89955   9.9552    1.112  0.04018  0.53973  0.57991
  12  0.010     20  0.002   180    200  0.10000  0.90000  10.0000    1.111  0.00100  0.00180  0.00280
  13  0.800  20000  0.600   180  20180  0.99108  0.00892   1.0090  112.111  0.79286  0.00535  0.79822
  14  0.910   2032  0.200   180   2212  0.91863  0.08137   1.0886   12.289  0.83595  0.01627  0.85222
  15  0.940   2022  0.200   180   2202  0.91826  0.08174   1.0890   12.233  0.86316  0.01635  0.87951
  16  0.901    203  0.002   180    383  0.53003  0.46997   1.8867    2.128  0.47755  0.00094  0.47849
